id;category_id;category_name;description
1;21798;supply-chains;Versatile Integration bypassing
2;43501;Practical Chief programming;Chips Kentucky
3;13053;fuchsia;Nevada
4;37402;interfaces Games;Washington
5;37510;fresh-thinking Ecuador;Delaware violet
6;58088;Music Investment;Investor compress
7;35498;Future real-time Rubber;Thailand throughput
8;37346;Tonga withdrawal networks;Avon XML
9;64806;generation Mouse Island;driver leading-edge TCP
10;34646;Account Cambridgeshire Verde;circuit Optimization
