id;expense_type;amount;description;date
1;grid-enabled deposit;67241;Pizza User;2023-04-22
2;Isle withdrawal maroon;43127;program Handcrafted Ball;2023-04-21
3;instruction;79651;Chicken;2023-04-21
4;Account;64773;Gloves initiatives;2023-04-21
5;Junction Sausages Czech;55994;Ports Chicken throughput;2023-04-21
6;Ergonomic;8767;bluetooth green Books;2023-04-21
7;Personal;42591;Liaison Cambridgeshire;2023-04-21
8;Borders;90486;Pakistan 1080p;2023-04-21
9;Architect Rubber;61505;evolve;2023-04-21
10;withdrawal schemas HTTP;99066;back Account;2023-04-21
