id;expense_type;amount;description;date
1;Senior Montenegro Centralized;15823;XSS;2023-04-15
2;Arkansas Arizona transmitting;39896;driver;2023-04-15
3;lavender toolset;58133;deposit protocol Integrated;2023-04-15
4;redundant Hat Handcrafted;37437;Account Uganda Kip;2023-04-15
5;Cambridgeshire Generic teal;25561;Metal Bacon redundant;2023-04-15
6;Jersey JSON;86124;Keyboard HDD Profit-focused;2023-04-15
7;Dakota hacking;43149;tan Pakistan viral;2023-04-15
8;relationships zero Afghani;23403;parse SAS withdrawal;2023-04-15
9;Switzerland New Soap;77703;Plaza multi-tasking;2023-04-14
10;connect interface Islands;7352;embrace reinvent transition;2023-04-15
