id;name;balance;type;description
1;Canyon Platinum;71572;CHECKING;Rubber Principal Tasty
2;AI applications Borders;2698;CHECKING;Global Planner
3;Streets International convergence;81291;CHECKING;green
4;panel Account (the;43255;SAVINGS;Engineer gold Global
5;Frozen;53355;CASH;compressing Berkshire
6;motivating Frozen upward-trending;60798;SAVINGS;bricks-and-clicks Korea
7;FTP;59816;CREDIT_CARD;Integrated bypass salmon
8;deposit Belarussian;31347;CHECKING;Refined Account Soft
9;Corporate Tuna Division;28944;CREDIT_CARD;mindshare connect Islands
10;Communications web Division;12255;CREDIT_CARD;Unbranded
